query	no	title	link	description	total_text
전주 여행	11	추석  전주여행 	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=474841714&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=11&search_sort=0&spq=0	16~18일  전주 로  여행  가려고 하는데 그때 한옥마을같은 관광지들은 문 닫을까요...? 16~18일  전주 로  여행  가려고 하는데 그때 한옥마을같은 관광지들은 문 닫을까요...? 추석당일은 문을 닫습니다.  전주 에도 이벤트가 진행중입니다. 8.27... 	추석  전주여행  16~18일  전주 로  여행  가려고 하는데 그때 한옥마을같은 관광지들은 문 닫을까요...? 16~18일  전주 로  여행  가려고 하는데 그때 한옥마을같은 관광지들은 문 닫을까요...? 추석당일은 문을 닫습니다.  전주 에도 이벤트가 진행중입니다. 8.27... 
전주 여행	12	 전주여행  1박2일 코스질문요.	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=464365893&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=12&search_sort=0&spq=0	... 코스한번짜주실분 전라도쪽은 저도여행을간적이없어서ㅠ  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서... 	 전주여행  1박2일 코스질문요. ... 코스한번짜주실분 전라도쪽은 저도여행을간적이없어서ㅠ  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서... 
전주 여행	13	남해, 전주 여행 	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=461982007&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=13&search_sort=0&spq=0	남해, 전주 여행  가려는데 여행지와 맛집 추천좀 해주세요 보리암,다랭이굴,독일마을,전주 한옥마을빼고 두세개씩5명이서 갈곳,맛집 빨리추천해주세요 앞에 말했던곳은 갈꺼라서 추천안해주셔도 됩니다  전주여행  전주맛집... 	남해, 전주 여행  남해, 전주 여행  가려는데 여행지와 맛집 추천좀 해주세요 보리암,다랭이굴,독일마을,전주 한옥마을빼고 두세개씩5명이서 갈곳,맛집 빨리추천해주세요 앞에 말했던곳은 갈꺼라서 추천안해주셔도 됩니다  전주여행  전주맛집... 
전주 여행	14	 전주여행  3일	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=461053318&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=14&search_sort=0&spq=0	 전주여행  3일 간다면 여행 총 비용이 얼마 나올까요,?  전주 여행 의 총 비용은 여러 요소에 따라 달라지지만, 일반적으로 다음과 같은 항목들이 포함됩니다. 1. 교통비: 전주까지 이동하기 위한 교통비용이 있을 것입니다. 이는 여행하는... 	 전주여행  3일  전주여행  3일 간다면 여행 총 비용이 얼마 나올까요,?  전주 여행 의 총 비용은 여러 요소에 따라 달라지지만, 일반적으로 다음과 같은 항목들이 포함됩니다. 1. 교통비: 전주까지 이동하기 위한 교통비용이 있을 것입니다. 이는 여행하는... 
전주 여행	15	 전주여행 코스좀짜주세요ㅜㅜ	https://kin.naver.com/qna/detail.naver?d1id=12&dirId=121305&docId=465655085&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=15&search_sort=0&spq=0	...  전주여행 코스를 짜드릴 수 있습니다. 전주는 역사적인 유적지와 전통문화가 빛나는 곳으로 유명한데요, 먼저 전주한옥마을을 방문하시면 한옥의 아름다움을 느낄 수 있습니다. 여행의 시작지라고 할 수 있는 전주한옥마을에서... 	 전주여행 코스좀짜주세요ㅜㅜ ...  전주여행 코스를 짜드릴 수 있습니다. 전주는 역사적인 유적지와 전통문화가 빛나는 곳으로 유명한데요, 먼저 전주한옥마을을 방문하시면 한옥의 아름다움을 느낄 수 있습니다. 여행의 시작지라고 할 수 있는 전주한옥마을에서... 
전주 여행	16	 전주여행  관련	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=469137468&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=16&search_sort=0&spq=0	...  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다. 주말인지 평일인지에 따라다릅니다... 	 전주여행  관련 ...  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다. 주말인지 평일인지에 따라다릅니다... 
전주 여행	17	 전주  3박4일  여행 	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=459258161&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=17&search_sort=0&spq=0	... 부탁드립니다 ㅜㅜ  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다.  전주여행 코스는... 	 전주  3박4일  여행  ... 부탁드립니다 ㅜㅜ  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다.  전주여행 코스는... 
전주 여행	18	 전주  완주  여행 	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=456754318&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=18&search_sort=0&spq=0	...  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다. 완주 어느쪽을 여행하느냐에 따라... 	 전주  완주  여행  ...  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다. 완주 어느쪽을 여행하느냐에 따라... 
전주 여행	19	 전주 여행  가려고 하는데 1박2일vs2박3일	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=901&docId=465668786&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=19&search_sort=0&spq=0	... 어떤게 적당할지 추천 좀 해주세요  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다.... 	 전주 여행  가려고 하는데 1박2일vs2박3일 ... 어떤게 적당할지 추천 좀 해주세요  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다.... 
전주 여행	20	 전주 여행 	https://kin.naver.com/qna/detail.naver?d1id=12&dirId=121305&docId=457210792&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=20&search_sort=0&spq=0	...  전주 여행 을 가시려하는군요! 그렇다면 전주에서 연인들이 제일 많이 찾는 곳들 추천해드리겠습니다. ▶전주한옥마을 ▶전주동물원 ▶한국도로공사수목원 ▶전주향교 ▶덕진공원... 	 전주 여행  ...  전주 여행 을 가시려하는군요! 그렇다면 전주에서 연인들이 제일 많이 찾는 곳들 추천해드리겠습니다. ▶전주한옥마을 ▶전주동물원 ▶한국도로공사수목원 ▶전주향교 ▶덕진공원... 
전주 여행	21	 전주  2박3일 여행  비용	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=441096616&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=21&search_sort=0&spq=0	...  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다. 한옥마을은 입장료는 따로없습니다! 기본... 	 전주  2박3일 여행  비용 ...  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다. 한옥마을은 입장료는 따로없습니다! 기본... 
전주 여행	22	 전주 여행 	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=449461461&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=22&search_sort=0&spq=0	이번주에  전주 여행  1박 2일로 처음 가는데 가볼데 추천 좀 해주세요 걷기 좋은데 위주로요 (걷는 거 좋아해요 트레킹 좋아해요)  전주여행 을 계획중이시군요!! 전주에는 다양한 볼거리들과... 	 전주 여행  이번주에  전주 여행  1박 2일로 처음 가는데 가볼데 추천 좀 해주세요 걷기 좋은데 위주로요 (걷는 거 좋아해요 트레킹 좋아해요)  전주여행 을 계획중이시군요!! 전주에는 다양한 볼거리들과... 
전주 여행	23	초등 6학년 210명  전주  일대 1박2일 수학 여행  코스	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=466708706&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=23&search_sort=0&spq=0	... 전주 관광에 달인이신 전주달봉이님께서 코스 추천을 해 주시면 대단히 감사드리겠습니다~~  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행... 	초등 6학년 210명  전주  일대 1박2일 수학 여행  코스 ... 전주 관광에 달인이신 전주달봉이님께서 코스 추천을 해 주시면 대단히 감사드리겠습니다~~  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행... 
전주 여행	24	 전주여행  1박2일 비용	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=471145062&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=24&search_sort=0&spq=0	 전주여행  1박 2일로 가면 숙박비 제외 일인당 대략 얼마 필요하나요? 숙박비 교통비 제외 하고 10만원이면 가능할까요?  전주여행  1박 2일로 가면 숙박비 제외 일인당 대략 얼마 필요하나요? 숙박비 교통비 제외 하고 10만원이면... 	 전주여행  1박2일 비용  전주여행  1박 2일로 가면 숙박비 제외 일인당 대략 얼마 필요하나요? 숙박비 교통비 제외 하고 10만원이면 가능할까요?  전주여행  1박 2일로 가면 숙박비 제외 일인당 대략 얼마 필요하나요? 숙박비 교통비 제외 하고 10만원이면... 
전주 여행	25	2박3일  전주  크리스마스  여행 	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=459344814&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=25&search_sort=0&spq=0	...  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다.  전주여행 코스는 한옥마을에서부터 시작을... 	2박3일  전주  크리스마스  여행  ...  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다.  전주여행 코스는 한옥마을에서부터 시작을... 
전주 여행	26	 전주여행  갈곳, 전시회 추천	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=438462586&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=26&search_sort=0&spq=0	제가 이번달 말에 남자친구랑  전주여행 을 가는데요. 전주한옥마을만 가기엔 그래서 갈만한 곳, 공방, 전시회같은거 있음 추천부탁드려요ㅠㅠ 안녕하세요. 질문하신 [ 전주여행 ] 관련 답변 드리도록 하겠습니다. 전주로 놀러가시나 봅니다... 	 전주여행  갈곳, 전시회 추천 제가 이번달 말에 남자친구랑  전주여행 을 가는데요. 전주한옥마을만 가기엔 그래서 갈만한 곳, 공방, 전시회같은거 있음 추천부탁드려요ㅠㅠ 안녕하세요. 질문하신 [ 전주여행 ] 관련 답변 드리도록 하겠습니다. 전주로 놀러가시나 봅니다... 
전주 여행	27	친구랑  전주여행 	https://kin.naver.com/qna/detail.naver?d1id=12&dirId=121305&docId=452584751&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=27&search_sort=0&spq=0	친구랑 첫  전주여행 을 가보려고 합니다 가볼만한곳,호텔,맛집 추천해주세요 호텔은 시설이 괜찮고 깨끗했으면 좋겠어요 한옥이어도 괜찮아요! 침대가 있는곳이면 더 좋겠어요 맛집은 (양식,중식,일식) 상관없습니다 비용도 1인당... 	친구랑  전주여행  친구랑 첫  전주여행 을 가보려고 합니다 가볼만한곳,호텔,맛집 추천해주세요 호텔은 시설이 괜찮고 깨끗했으면 좋겠어요 한옥이어도 괜찮아요! 침대가 있는곳이면 더 좋겠어요 맛집은 (양식,중식,일식) 상관없습니다 비용도 1인당... 
전주 여행	28	 전주여행  코스 추천	https://kin.naver.com/qna/detail.naver?d1id=12&dirId=121305&docId=261431923&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=28&search_sort=0&spq=0	안녕하세요 여자친구랑  전주여행 을 갈예정인데 숙소를 전주 더클래식호텔로 잡고 1박2일 일정으로 여행을 가게되었습니다. 근데 금요일 오후 5시쯤 전주에 도착예정이고 자가차가 없어 이동수단을 대중교통과 택시로 할예정입니다.... 	 전주여행  코스 추천 안녕하세요 여자친구랑  전주여행 을 갈예정인데 숙소를 전주 더클래식호텔로 잡고 1박2일 일정으로 여행을 가게되었습니다. 근데 금요일 오후 5시쯤 전주에 도착예정이고 자가차가 없어 이동수단을 대중교통과 택시로 할예정입니다.... 
전주 여행	29	 전주 여행  전연령 렌트카 추천	https://kin.naver.com/qna/detail.naver?d1id=8&dirId=8110203&docId=477031265&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=29&search_sort=0&spq=0	이번에  전주 여행  2박3일로 가는 저는 21살 만으로 만 19세입니다. 전주 전연령 자동차 추천좀 부탁드리겠습니다. 그리고 가격도 2일 렌트하면 총 어느정도 나올까요? 전주에서 21세 이상 렌트 가능한 자동차를 찾아보세요. 가격은... 	 전주 여행  전연령 렌트카 추천 이번에  전주 여행  2박3일로 가는 저는 21살 만으로 만 19세입니다. 전주 전연령 자동차 추천좀 부탁드리겠습니다. 그리고 가격도 2일 렌트하면 총 어느정도 나올까요? 전주에서 21세 이상 렌트 가능한 자동차를 찾아보세요. 가격은... 
전주 여행	30	 전주 여행 코스 추천이요~!	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=442151278&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=30&search_sort=0&spq=0	영화제 기간 일정으로 2박3일  전주여행  좀 가볼까 해서요. 여행코스 추천 좀 해주세요 어차피 주목적은 전주국제영화제니까 많은 곳을 둘러보지는 못할거에요 그냥 전주하면 꼭 가볼만한 곳 알짜배기만 추천해주세욜~~!! 전주 영화의... 	 전주 여행 코스 추천이요~! 영화제 기간 일정으로 2박3일  전주여행  좀 가볼까 해서요. 여행코스 추천 좀 해주세요 어차피 주목적은 전주국제영화제니까 많은 곳을 둘러보지는 못할거에요 그냥 전주하면 꼭 가볼만한 곳 알짜배기만 추천해주세욜~~!! 전주 영화의... 
전주 여행	31	[추천해주세요]  전주  당일치기  여행 	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=441175638&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=31&search_sort=0&spq=0	[추천해주세요] 전주 당일치기 여행  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다.... 	[추천해주세요]  전주  당일치기  여행  [추천해주세요] 전주 당일치기 여행  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다.... 
전주 여행	32	광주에서  전주  2박3일  여행 	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=441966752&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=32&search_sort=0&spq=0	... 감사하겠습니다  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다. 버스터미널에서 내리셔서... 	광주에서  전주  2박3일  여행  ... 감사하겠습니다  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다. 버스터미널에서 내리셔서... 
전주 여행	33	1박2일  전주여행 ~.~	https://kin.naver.com/qna/detail.naver?d1id=12&dirId=121305&docId=407203201&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=33&search_sort=0&spq=0	... 질문하신 [ 전주 여행 일정] 관련 답변 드리도록 하겠습니다. 여행가실 때 계획짜기 너무 귀찮죠ㅠㅠ 제가 전주에서 즐길 수 있는 1박 2일 여행을 준비해 보았어요. 아래 일정을 참고해 보시고, 즐거운 여행되시길 바라요~ 1일차... 	1박2일  전주여행 ~.~ ... 질문하신 [ 전주 여행 일정] 관련 답변 드리도록 하겠습니다. 여행가실 때 계획짜기 너무 귀찮죠ㅠㅠ 제가 전주에서 즐길 수 있는 1박 2일 여행을 준비해 보았어요. 아래 일정을 참고해 보시고, 즐거운 여행되시길 바라요~ 1일차... 
전주 여행	34	 전주 여행 	https://kin.naver.com/qna/detail.naver?d1id=12&dirId=121305&docId=454611584&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=34&search_sort=0&spq=0	... 각각 거리가 가까운지 알고싶어요 추석에 여행예정입니다 그외 갈만한곳 추천해주세요  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행... 	 전주 여행  ... 각각 거리가 가까운지 알고싶어요 추석에 여행예정입니다 그외 갈만한곳 추천해주세요  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행... 
